date,基准20日,多窗口融合,双动量,波动率加权,Frog-in-the-Pan
2021-12-29,1000000.0,1000000.0,999500.2774,1000000.0,1000000.0
2021-12-30,1000000.0,1000000.0,1007042.0773999998,1000000.0,1000000.0
2021-12-31,1000000.0,1000000.0,1010708.1773999999,1000000.0,1000000.0
2022-01-04,1000000.0,1000000.0,1008682.8774,1000000.0,1000000.0
2022-01-05,1000000.0,1000000.0,997697.2773999999,1000000.0,1000000.0
2022-01-06,1000000.0,1000000.0,988718.4774,1000000.0,1000000.0
2022-01-07,1000000.0,1000000.0,989403.8774000001,1000000.0,1000000.0
2022-01-10,1000000.0,1000000.0,991400.9774,1000000.0,1000000.0
2022-01-11,1000000.0,1000000.0,983903.5774000001,1000000.0,1000000.0
2022-01-12,1000000.0,1000000.0,992695.5774,1000000.0,1000000.0
2022-01-14,1000000.0,1000000.0,967049.7774,1000000.0,1000000.0
2022-01-17,1000000.0,1000000.0,974614.2774,1000000.0,1000000.0
2022-01-18,1000000.0,1000000.0,982818.8773999999,1000000.0,1000000.0
2022-01-19,1000000.0,1000000.0,978974.4774,1000000.0,1000000.0
2022-01-20,1000000.0,1000000.0,984074.1773999999,1000000.0,1000000.0
2022-01-21,1000000.0,1000000.0,977112.9774,1000000.0,1000000.0
2022-01-24,1000000.0,1000000.0,975608.6773999999,1000000.0,1000000.0
2022-01-25,1000000.0,1000000.0,949693.6773999999,1000000.0,1000000.0
2022-01-26,1000000.0,1000000.0,954469.5773999998,1000000.0,1000000.0
2022-01-27,1000000.0,1000000.0,936740.0774,1000000.0,1000000.0
2022-01-28,1000000.0,1000000.0,921505.1773999999,1000000.0,1000000.0
2022-02-07,1000000.0,1000000.0,937810.6773999999,1000000.0,1000000.0
2022-02-08,1000000.0,1000000.0,940254.1773999999,1000000.0,1000000.0
2022-02-09,1000000.0,1000000.0,949952.1773999999,1000000.0,1000000.0
2022-02-10,1000000.0,1000000.0,949980.3774000001,1000000.0,1000000.0
2022-02-11,1000000.0,1000000.0,942913.4774,1000000.0,1000000.0
2022-02-14,1000000.0,1000000.0,932690.5774000001,1000000.0,1000000.0
2022-02-15,1000000.0,1000000.0,939906.5774,1000000.0,1000000.0
2022-02-16,1000000.0,1000000.0,943893.5774,1000000.0,1000000.0
2022-02-17,1000000.0,1000000.0,945055.8773999999,1000000.0,1000000.0
2022-02-18,1000000.0,1000000.0,952435.5774,1000000.0,1000000.0
2022-02-21,1000000.0,1000000.0,951092.7774,1000000.0,1000000.0
2022-02-22,1000000.0,1000000.0,937644.2774,1000000.0,1000000.0
2022-02-23,1000000.0,1000000.0,948010.1773999999,1000000.0,1000000.0
2022-02-24,1000000.0,1000000.0,929858.2774,1000000.0,1000000.0
2022-02-25,1000000.0,1000000.0,936138.5774,1000000.0,1000000.0
2022-02-28,1000000.0,1000000.0,938777.0774000001,1000000.0,1000000.0
2022-03-01,1000000.0,1000000.0,947299.4774,1000000.0,1000000.0
2022-03-02,1000000.0,1000000.0,942948.7774,1000000.0,1000000.0
2022-03-03,1000000.0,1000000.0,939327.9774,1000000.0,1000000.0
2022-03-04,999500.23125,1000000.0,929357.4653999999,1000000.0,999500.23125
2022-03-07,1006013.33125,1000000.0,935412.2653999999,1000000.0,1006013.33125
2022-03-08,985675.23125,1000000.0,916495.9653999999,1000000.0,985675.23125
2022-03-09,984642.03125,1000000.0,915534.3653999999,1000000.0,984642.03125
2022-03-10,979100.23125,1000000.0,910383.9653999998,1000000.0,979100.23125
2022-03-11,982388.4312499999,1000000.0,913441.5653999997,1000000.0,982388.4312499999
2022-03-14,966654.6312499999,1000000.0,898810.1653999998,1000000.0,966654.6312499999
2022-03-15,914160.1312499999,1000000.0,849994.6653999998,1000000.0,914160.1312499999
